,Unnamed: 0,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,new_cell,population
0,4,종로구,11010720,청운효자동,Cheongunhyoja-dong,Cheongunhyoja,22789.756
1,5,종로구,11010530,사직동,Sajik-dong,Sajik,42058.8109
2,6,종로구,11010540,삼청동,Samcheong-dong,Samcheong,8788.555099999998
3,7,종로구,11010550,부암동,Buam-dong,Buam,15313.667
4,8,종로구,11010560,평창동,Pyeongchang-dong,Pyeongchang,15776.3488
5,9,종로구,11010570,무악동,Muak-dong,Muak,6290.65
6,10,종로구,11010580,교남동,Gyonam-dong,Gyonam,8235.4362
7,11,종로구,11010600,가회동,Gahoe-dong,Gahoe,13306.1247
8,12,종로구,11010610,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,Jongno1·2·3·4Ga,124555.1497
9,13,종로구,11010630,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,Jongno5·6Ga,31648.4312
10,14,종로구,11010640,이화동,Ihwa-dong,Ihwa,37339.8216
11,15,종로구,11010730,혜화동,Hyehwa-dong,Hyehwa,36368.4303
12,16,종로구,11010670,창신1동,Changsin 1(il)-dong,Changsin1(il),9357.2847
13,17,종로구,11010680,창신2동,Changsin 2(i)-dong,Changsin2(i),8513.0392
14,18,종로구,11010690,창신3동,Changsin 3(sam)-dong,Changsin3(sam),4216.389
15,19,종로구,11010700,숭인1동,Sungin 1(il)-dong,Sungin1(il),7982.560999999999
16,20,종로구,11010710,숭인2동,Sungin 2(i)-dong,Sungin2(i),13759.3128
17,22,중구,11020520,소공동,Sogong-dong,Sogong,68486.3614
18,23,중구,11020540,회현동,Hoehyeon-dong,Hoehyeon,58254.034
19,24,중구,11020550,명동,Myeong-dong,Myeong,87463.72169999998
20,25,중구,11020570,필동,Pil-dong,Pil,24649.9598
21,26,중구,11020580,장충동,Jangchung-dong,Jangchung,19468.4146
22,27,중구,11020590,광희동,Gwanghui-dong ,Gwanghui,37822.83
23,28,중구,11020600,을지로동,Euljiro-dong,Euljiro,36776.9909
24,29,중구,11020690,신당동,Sindang-dong,Sindang,25559.1017
25,30,중구,11020700,다산동,Dasan-dong,Dasan,15788.6658
26,31,중구,11020710,약수동,Yaksu-dong,Yaksu,12761.6015
27,32,중구,11020720,청구동,Cheonggu-dong,Cheonggu,9939.2065
28,33,중구,11020650,신당5동,Sindang 5(o)-dong,Sindang5(o),7527.8781
29,34,중구,11020730,동화동,Donghwa-dong,Donghwa,10052.5206
30,35,중구,11020670,황학동,Hwanghak-dong,Hwanghak,12660.2178
31,36,중구,11020680,중림동,Jungnim-dong,Jungnim,11545.1149
32,38,용산구,11030510,후암동,Huam-dong,Huam,12306.5563
33,39,용산구,11030520,용산2가동,Yongsan 2(i)-ga-dong,Yongsan2(i)-ga,10746.3335
34,40,용산구,11030530,남영동,Namyeong-dong,Namyeong,27253.3425
35,41,용산구,11030710,청파동,Cheongpa-dong,Cheongpa,27485.712
36,42,용산구,11030720,원효로1동,Wonhyoro 1(il)-dong,Wonhyoro1(il),23248.2832
37,43,용산구,11030570,원효로2동,Wonhyoro 2(i)-dong,Wonhyoro2(i),14357.5284
38,44,용산구,11030580,효창동,Hyochang-dong,Hyochang,9548.3582
39,45,용산구,11030590,용문동,Yongmun-dong,Yongmun,6085.791
40,46,용산구,11030730,한강로동,Hangangno-dong,Hangangno,68697.7832
41,47,용산구,11030630,이촌1동,Ichon 1(il)-dong,Ichon1(il),23271.5859
42,48,용산구,11030640,이촌2동,Ichon 2(i)-dong,Ichon2(i),5574.0043
43,49,용산구,11030650,이태원1동,Itaewon 1(il)-dong,Itaewon1(il),13113.81
44,50,용산구,11030660,이태원2동,Itaewon 2(i)-dong,Itaewon2(i),9614.5299
45,51,용산구,11030740,한남동,Hannam-dong,Hannam,36499.0491
46,52,용산구,11030690,서빙고동,Seobinggo-dong,Seobinggo,15428.8662
47,53,용산구,11030700,보광동,Bogwang-dong,Bogwang,9210.2262
48,55,성동구,11040520,왕십리2동,Wangsimni 2(i)-dong,Wangsimni2(i),11362.1802
49,56,성동구,11040710,왕십리도선동,WangsimniDoseon-dong,WangsimniDoseon,26727.8795
50,57,성동구,11040540,마장동,Majang-dong,Majang,20609.9928
51,58,성동구,11040550,사근동,Sageun-dong,Sageun,35588.2994
52,59,성동구,11040560,행당1동,Haengdang 1(il)-dong,Haengdang1(il),25547.8172
53,60,성동구,11040570,행당2동,Haengdang 2(i)-dong,Haengdang2(i),14984.7872
54,61,성동구,11040580,응봉동,Eungbong-dong,Eungbong,8467.7141
55,62,성동구,11040590,금호1가동,Geumho 1(il)-ga-dong,Geumho1(il)-ga,10803.543
56,63,성동구,11040720,금호2.3가동,Geumho 2.3(isam)-ga-dong,Geumho2.3(isam)-ga,15057.1334
57,64,성동구,11040620,금호4가동,Geumho 4(sa)-ga-dong,Geumho4(sa)-ga,10638.2254
58,65,성동구,11040730,옥수동,Oksu-dong,Oksu,24700.2669
59,66,성동구,11040650,성수1가1동,Seongsu 1(il)-ga-1(il)-dong,Seongsu1(il)-ga-1(il),24200.5161
60,67,성동구,11040660,성수1가2동,Seongsu 1(il)-ga-2(i)-dong,Seongsu1(il)-ga-2(i),27271.3307
61,68,성동구,11040670,성수2가1동,Seongsu 2(i)-ga-1(il)-dong,Seongsu2(i)-ga-1(il),24448.7333
62,69,성동구,11040680,성수2가3동,Seongsu 2(i)-ga-3(sam)-dong,Seongsu2(i)-ga-3(sam),62216.8336
63,70,성동구,11040690,송정동,Songjeong-dong,Songjeong,9685.3683
64,71,성동구,11040700,용답동,Yongdap-dong,Yongdap,20401.2738
65,73,광진구,11050530,화양동,Hwayang-dong,Hwayang,41236.4495
66,74,광진구,11050540,군자동,Gunja-dong,Gunja,23579.2058
67,75,광진구,11050550,중곡1동,Junggok 1(il)-dong,Junggok1(il),12330.2819
68,76,광진구,11050560,중곡2동,Junggok 2(i)-dong,Junggok2(i),14249.3449
69,77,광진구,11050570,중곡3동,Junggok 3(sam)-dong,Junggok3(sam),13795.961
70,78,광진구,11050580,중곡4동,Junggok 4(sa)-dong,Junggok4(sa),21385.0982
71,79,광진구,11050590,능동,Neung-dong,Neung,19794.3042
