post_id,name,post,hashtag
Cmb1IdmPte9,SUNSET&SUNRISE,"🌅

red frill sweater

PRICE 25,000
*delivery free

FABRIC
cotton 60%
rayon 40%

SIZE (CM)

CARE GUIDE 
드라이클리닝 or 단독 손 세탁 권장",[]
Cl-6HJUJz1_,hey_ho,"♀️ 유흥일 구하는 언니들 모여라 ♀️

🇰🇷20세 이상 k-언니들이라면 누구든 환영

✔ 술없이 편하게 일하고 싶은 언니들

✔ 일만하기도 힘들데 블랙들,텃세까지 고민하는 언니들
 
✔ 하루 60-120 이상 벌어가고 싶은 언니들

🤖 알.바.가.능

🤖 혼.자.서.도.환.영

🤖 친.구.랑.도.환.영

🤖 주/야.가.능

🤖 픽.업.가.능

🤖 2.4.시.간.문.의.환.영

🤖 연.중.무.휴

🤖 숙.소.제.공

🤖 주.말.알.바.가.능

🤖 방.학.알.바.가.능

🤖 식.사.제.공

🤖 간.식.제.공

🤖 블.랙.관.리

🤖 언.니.들.은.아.무.것.도.안.해.도.돼.요 

🤖 편.하.게.일.만.하.면.돼.요

📢 문의: 010 6447 2216

📢 텔레: MUNG_HEY",[]
CmbyMJ-BFLw,이소미,"올해 처음으로 트리 앞에서 찍었댜🎄
.
#samsamsam #크리스마스 #용리단길","['#samsamsam', '#크리스마스', '#용리단길']"
CmbydggLtGh,정연익,"#우리집 에 찾아온 #크리스마스 #🎄
아들이 도와주니 #크리스마스트리 생각보다 금새 만드네-
#메리크리스마스🎄 #새해복많이받으세요🙇","['#우리집', '#크리스마스', '#크리스마스트리', '#메리크리스마스', '#새해복많이받으세요']"
CmbySt6p7_8,@_juravel_,나 연말 분위기 좋아했네… ◡̈,[]
CmbvGzQvnDS,🐕🐎🐖,"올 크리스마스도 함께😉
작년에 셋이였는데 도겨미가 없어서 넘나 아쉬움😭
내년엔 우리 함께하쟈ㅠ

도유니도 이현이도 사진찍기 왤케힘드니😥
그래도 함께있으니 넘나 예쁘다♡
내년에도 함께하자♡
#황금돼지띠아들#크리스마스#홈스튜디오#매년사진찍기#아들둘사진찍기힘들다#사랑스러운아가들#포토존#크리스마스#수료땐#흑백사진찍으러갈까?","['#황금돼지띠아들', '#크리스마스', '#홈스튜디오', '#매년사진찍기', '#아들둘사진찍기힘들다', '#사랑스러운아가들', '#포토존', '#크리스마스', '#수료땐', '#흑백사진찍으러갈까']"
CmbrL2YS9Ic,Chris,"크리스마스 파티 / 홈파티 바베큐 밀키트

주문 받고있습니다~

😍네이버 쇼핑에서
  #스모키립스 바베큐 검색해 보세요~!

🇺🇸7분만에 준비끝!!!🇺🇸

👉진공포장 신선유지

👉꼼꼼포장 빠른배송

👉간편조리 고퀄만족

고급 훈연향이 나를 감싸네😎

홈파티도👌 집들이도👌 캠핑도👌

선물도 특별하게 🎁

💥사이드메뉴도 절찬판매중💥

👉콜슬로우/칠리빈/모닝빵/수제베이컨/수제육포👈

#텍사스바베큐 #브리스킷 #스페어립 #풀드포크 #베이비백립 #캠핑음식 #홈파티 #펜션 #집들이음식 #캠핑 #밀키트 #바베큐 #폭립 #캠핑요리 #바베큐파티 #파티음식 #먹팔로우 #먹자그램 #로우앤슬로우 방식으로 만드는 텍사스바베큐 #먹스타그램 #간편음식 #생일 음식 #크리스마스 음식 

제품문의 010-2012-1789","['#스모키립스', '#텍사스바베큐', '#브리스킷', '#스페어립', '#풀드포크', '#베이비백립', '#캠핑음식', '#홈파티', '#펜션', '#집들이음식', '#캠핑', '#밀키트', '#바베큐', '#폭립', '#캠핑요리', '#바베큐파티', '#파티음식', '#먹팔로우', '#먹자그램', '#로우앤슬로우', '#먹스타그램', '#간편음식', '#생일', '#크리스마스']"
CmQCCrkP4GS,@26_dongrami,🎄,[]
Cmbwqq-ri9-,하백초,"삼성영어 크리스마스 이벤트❤️

우리 아이들 1년간 고생했어 💕💕

1년 중 가장 큰 이벤트 크리스마스 이벤트!

1. 간식파티
2. 경품 뽑기 
3. 비즈 팔찌 만들기
4. 동사의 3단변화 카드게임!

3개월 동안 모은 응모권으로, 
멋진 선물도 뽑아보쟈,

넘나 예쁜 팔찌도 만들고

동사 3단변형 게임이랑
부루마블까지

기대되는 삼성영어 by JC에듀
크리스마스 파티 ❣️❣️

#삼성영어#삼성영어셀레나#삼성영어매곡학원#용봉동영어#매곡동영어#하백초#매곡초#삼성영어매곡#매곡동#용봉동 #광주매곡동 #크리스마스 #크리스마스파티 #크리스마스선물 #학원파티","['#삼성영어', '#삼성영어셀레나', '#삼성영어매곡학원', '#용봉동영어', '#매곡동영어', '#하백초', '#매곡초', '#삼성영어매곡', '#매곡동', '#용봉동', '#광주매곡동', '#크리스마스', '#크리스마스파티', '#크리스마스선물', '#학원파티']"
CmbYs1XrIzF,사당네일/*⁀➷🔮네일리스트_몽환🔮화려한네일전문,".
new스핀 파츠
.
.
몽환쌤이 또 고급짐 폭발하는
파츠를 데려왔어요✨️✨️🌪
빙글 빙글~춤추듯 아름다운 스핀 파츠는
돌면 돌수록 더 아름다워요🪄
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
모든 몽환 시즌 아트는
심플버전/파츠변경/컬러변경이 가능합니다
.
.
🔮네일리스트몽환 디자인 참고, 사용 시 꼭 출처 밝혀주세요✨️
.
.
.
.
네일리스트몽환은 스와로브스키 정품
취급샵입니다 💎
.
.
.
.
네이버 예약 가능 샵 🏡
.
네이버에
",[]
