,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,new_cell
4,종로구,11010720,청운효자동,Cheongunhyoja-dong,Cheongunhyoja
5,종로구,11010530,사직동,Sajik-dong,Sajik
6,종로구,11010540,삼청동,Samcheong-dong,Samcheong
7,종로구,11010550,부암동,Buam-dong,Buam
8,종로구,11010560,평창동,Pyeongchang-dong,Pyeongchang
9,종로구,11010570,무악동,Muak-dong,Muak
10,종로구,11010580,교남동,Gyonam-dong,Gyonam
11,종로구,11010600,가회동,Gahoe-dong,Gahoe
12,종로구,11010610,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,Jongno1.2.3.4(ilisamsa)-ga
13,종로구,11010630,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,Jongno5.6(oryuk)-ga
14,종로구,11010640,이화동,Ihwa-dong,Ihwa
15,종로구,11010730,혜화동,Hyehwa-dong,Hyehwa
16,종로구,11010670,창신1동,Changsin 1(il)-dong,Changsin1(il)
17,종로구,11010680,창신2동,Changsin 2(i)-dong,Changsin2(i)
18,종로구,11010690,창신3동,Changsin 3(sam)-dong,Changsin3(sam)
19,종로구,11010700,숭인1동,Sungin 1(il)-dong,Sungin1(il)
20,종로구,11010710,숭인2동,Sungin 2(i)-dong,Sungin2(i)
22,중구,11020520,소공동,Sogong-dong,Sogong
23,중구,11020540,회현동,Hoehyeon-dong,Hoehyeon
24,중구,11020550,명동,Myeong-dong,Myeong
25,중구,11020570,필동,Pil-dong,Pil
26,중구,11020580,장충동,Jangchung-dong,Jangchung
27,중구,11020590,광희동,Gwanghui-dong ,Gwanghui
28,중구,11020600,을지로동,Euljiro-dong,Euljiro
29,중구,11020690,신당동,Sindang-dong,Sindang
30,중구,11020700,다산동,Dasan-dong,Dasan
31,중구,11020710,약수동,Yaksu-dong,Yaksu
32,중구,11020720,청구동,Cheonggu-dong,Cheonggu
33,중구,11020650,신당5동,Sindang 5(o)-dong,Sindang5(o)
34,중구,11020730,동화동,Donghwa-dong,Donghwa
35,중구,11020670,황학동,Hwanghak-dong,Hwanghak
36,중구,11020680,중림동,Jungnim-dong,Jungnim
38,용산구,11030510,후암동,Huam-dong,Huam
39,용산구,11030520,용산2가동,Yongsan 2(i)-ga-dong,Yongsan2(i)-ga
40,용산구,11030530,남영동,Namyeong-dong,Namyeong
41,용산구,11030710,청파동,Cheongpa-dong,Cheongpa
42,용산구,11030720,원효로1동,Wonhyoro 1(il)-dong,Wonhyoro1(il)
43,용산구,11030570,원효로2동,Wonhyoro 2(i)-dong,Wonhyoro2(i)
44,용산구,11030580,효창동,Hyochang-dong,Hyochang
45,용산구,11030590,용문동,Yongmun-dong,Yongmun
46,용산구,11030730,한강로동,Hangangno-dong,Hangangno
47,용산구,11030630,이촌1동,Ichon 1(il)-dong,Ichon1(il)
48,용산구,11030640,이촌2동,Ichon 2(i)-dong,Ichon2(i)
49,용산구,11030650,이태원1동,Itaewon 1(il)-dong,Itaewon1(il)
50,용산구,11030660,이태원2동,Itaewon 2(i)-dong,Itaewon2(i)
51,용산구,11030740,한남동,Hannam-dong,Hannam
52,용산구,11030690,서빙고동,Seobinggo-dong,Seobinggo
53,용산구,11030700,보광동,Bogwang-dong,Bogwang
55,성동구,11040520,왕십리2동,Wangsimni 2(i)-dong,Wangsimni2(i)
56,성동구,11040710,왕십리도선동,WangsimniDoseon-dong,WangsimniDoseon
57,성동구,11040540,마장동,Majang-dong,Majang
58,성동구,11040550,사근동,Sageun-dong,Sageun
59,성동구,11040560,행당1동,Haengdang 1(il)-dong,Haengdang1(il)
60,성동구,11040570,행당2동,Haengdang 2(i)-dong,Haengdang2(i)
61,성동구,11040580,응봉동,Eungbong-dong,Eungbong
62,성동구,11040590,금호1가동,Geumho 1(il)-ga-dong,Geumho1(il)-ga
63,성동구,11040720,금호2.3가동,Geumho 2.3(isam)-ga-dong,Geumho2.3(isam)-ga
64,성동구,11040620,금호4가동,Geumho 4(sa)-ga-dong,Geumho4(sa)-ga
65,성동구,11040730,옥수동,Oksu-dong,Oksu
66,성동구,11040650,성수1가1동,Seongsu 1(il)-ga-1(il)-dong,Seongsu1(il)-ga-1(il)
67,성동구,11040660,성수1가2동,Seongsu 1(il)-ga-2(i)-dong,Seongsu1(il)-ga-2(i)
68,성동구,11040670,성수2가1동,Seongsu 2(i)-ga-1(il)-dong,Seongsu2(i)-ga-1(il)
69,성동구,11040680,성수2가3동,Seongsu 2(i)-ga-3(sam)-dong,Seongsu2(i)-ga-3(sam)
70,성동구,11040690,송정동,Songjeong-dong,Songjeong
71,성동구,11040700,용답동,Yongdap-dong,Yongdap
73,광진구,11050530,화양동,Hwayang-dong,Hwayang
74,광진구,11050540,군자동,Gunja-dong,Gunja
75,광진구,11050550,중곡1동,Junggok 1(il)-dong,Junggok1(il)
76,광진구,11050560,중곡2동,Junggok 2(i)-dong,Junggok2(i)
77,광진구,11050570,중곡3동,Junggok 3(sam)-dong,Junggok3(sam)
78,광진구,11050580,중곡4동,Junggok 4(sa)-dong,Junggok4(sa)
79,광진구,11050590,능동,Neung-dong,Neung
80,광진구,11050630,광장동,Gwangjang-dong,Gwangjang
81,광진구,11050640,자양1동,Jayang 1(il)-dong,Jayang1(il)
82,광진구,11050650,자양2동,Jayang 2(i)-dong,Jayang2(i)
83,광진구,11050660,자양3동,Jayang 3(sam)-dong,Jayang3(sam)
84,광진구,11050670,자양4동,Jayang 4(sa)-dong,Jayang4(sa)
85,광진구,11050600,구의1동,Guui 1(il)-dong,Guui1(il)
86,광진구,11050610,구의2동,Guui 2(i)-dong,Guui2(i)
87,광진구,11050620,구의3동,Guui 3(sam)-dong,Guui3(sam)
89,동대문구,11060810,용신동,Yongsin-dong,Yongsin
90,동대문구,11060820,제기동,Jegi-dong,Jegi
